row_index,label,algorithm,feature_space
2468,2,clara_k8,text_pca64_only
2474,2,clara_k8,text_pca64_only
2483,0,clara_k8,text_pca64_only
2493,1,clara_k8,text_pca64_only
2495,6,clara_k8,text_pca64_only
2502,0,clara_k8,text_pca64_only
2513,0,clara_k8,text_pca64_only
2514,0,clara_k8,text_pca64_only
2516,6,clara_k8,text_pca64_only
2522,0,clara_k8,text_pca64_only
2527,6,clara_k8,text_pca64_only
2530,5,clara_k8,text_pca64_only
2540,1,clara_k8,text_pca64_only
2542,0,clara_k8,text_pca64_only
2544,2,clara_k8,text_pca64_only
2546,3,clara_k8,text_pca64_only
2547,6,clara_k8,text_pca64_only
2588,6,clara_k8,text_pca64_only
2592,2,clara_k8,text_pca64_only
2605,0,clara_k8,text_pca64_only
2608,0,clara_k8,text_pca64_only
2623,2,clara_k8,text_pca64_only
2625,4,clara_k8,text_pca64_only
2630,4,clara_k8,text_pca64_only
2633,7,clara_k8,text_pca64_only
2638,2,clara_k8,text_pca64_only
2644,6,clara_k8,text_pca64_only
2648,1,clara_k8,text_pca64_only
2660,2,clara_k8,text_pca64_only
2662,1,clara_k8,text_pca64_only
2667,7,clara_k8,text_pca64_only
2683,1,clara_k8,text_pca64_only
2687,3,clara_k8,text_pca64_only
2694,1,clara_k8,text_pca64_only
2709,6,clara_k8,text_pca64_only
2713,1,clara_k8,text_pca64_only
2721,3,clara_k8,text_pca64_only
2727,3,clara_k8,text_pca64_only
2730,1,clara_k8,text_pca64_only
2731,1,clara_k8,text_pca64_only
2740,4,clara_k8,text_pca64_only
2741,0,clara_k8,text_pca64_only
2742,2,clara_k8,text_pca64_only
2744,6,clara_k8,text_pca64_only
2753,6,clara_k8,text_pca64_only
2758,2,clara_k8,text_pca64_only
2764,0,clara_k8,text_pca64_only
2771,0,clara_k8,text_pca64_only
2778,4,clara_k8,text_pca64_only
2783,2,clara_k8,text_pca64_only
2785,2,clara_k8,text_pca64_only
2787,1,clara_k8,text_pca64_only
2788,2,clara_k8,text_pca64_only
2789,1,clara_k8,text_pca64_only
2791,2,clara_k8,text_pca64_only
2797,2,clara_k8,text_pca64_only
2805,3,clara_k8,text_pca64_only
2819,0,clara_k8,text_pca64_only
2820,2,clara_k8,text_pca64_only
2826,0,clara_k8,text_pca64_only
2833,0,clara_k8,text_pca64_only
2844,2,clara_k8,text_pca64_only
2854,0,clara_k8,text_pca64_only
2868,0,clara_k8,text_pca64_only
2873,0,clara_k8,text_pca64_only
2875,6,clara_k8,text_pca64_only
2885,3,clara_k8,text_pca64_only
2891,0,clara_k8,text_pca64_only
2901,0,clara_k8,text_pca64_only
2913,0,clara_k8,text_pca64_only
2937,6,clara_k8,text_pca64_only
2945,0,clara_k8,text_pca64_only
2946,0,clara_k8,text_pca64_only
2950,2,clara_k8,text_pca64_only
2952,2,clara_k8,text_pca64_only
2954,0,clara_k8,text_pca64_only
2958,2,clara_k8,text_pca64_only
2968,1,clara_k8,text_pca64_only
2971,1,clara_k8,text_pca64_only
2990,2,clara_k8,text_pca64_only
2996,3,clara_k8,text_pca64_only
2997,2,clara_k8,text_pca64_only
2999,1,clara_k8,text_pca64_only
3001,1,clara_k8,text_pca64_only
3016,3,clara_k8,text_pca64_only
3022,0,clara_k8,text_pca64_only
3025,5,clara_k8,text_pca64_only
3027,0,clara_k8,text_pca64_only
3029,1,clara_k8,text_pca64_only
3030,3,clara_k8,text_pca64_only
3031,1,clara_k8,text_pca64_only
3040,1,clara_k8,text_pca64_only
3047,3,clara_k8,text_pca64_only
3050,0,clara_k8,text_pca64_only
3056,0,clara_k8,text_pca64_only
3071,3,clara_k8,text_pca64_only
3076,3,clara_k8,text_pca64_only
3085,0,clara_k8,text_pca64_only
3091,0,clara_k8,text_pca64_only
3094,1,clara_k8,text_pca64_only
3095,0,clara_k8,text_pca64_only
3102,0,clara_k8,text_pca64_only
3112,0,clara_k8,text_pca64_only
3116,2,clara_k8,text_pca64_only
3117,0,clara_k8,text_pca64_only
3118,1,clara_k8,text_pca64_only
3125,1,clara_k8,text_pca64_only
3136,0,clara_k8,text_pca64_only
3137,2,clara_k8,text_pca64_only
3153,6,clara_k8,text_pca64_only
3166,1,clara_k8,text_pca64_only
3169,6,clara_k8,text_pca64_only
3172,1,clara_k8,text_pca64_only
3175,0,clara_k8,text_pca64_only
3182,0,clara_k8,text_pca64_only
3189,2,clara_k8,text_pca64_only
3198,1,clara_k8,text_pca64_only
3200,1,clara_k8,text_pca64_only
3208,0,clara_k8,text_pca64_only
3221,0,clara_k8,text_pca64_only
3222,0,clara_k8,text_pca64_only
3229,0,clara_k8,text_pca64_only
3231,0,clara_k8,text_pca64_only
3233,2,clara_k8,text_pca64_only
3235,7,clara_k8,text_pca64_only
3237,0,clara_k8,text_pca64_only
3241,0,clara_k8,text_pca64_only
3242,0,clara_k8,text_pca64_only
3251,6,clara_k8,text_pca64_only
3253,6,clara_k8,text_pca64_only
3254,0,clara_k8,text_pca64_only
3270,1,clara_k8,text_pca64_only
3278,0,clara_k8,text_pca64_only
3282,0,clara_k8,text_pca64_only
3289,6,clara_k8,text_pca64_only
3300,0,clara_k8,text_pca64_only
3301,4,clara_k8,text_pca64_only
3304,6,clara_k8,text_pca64_only
3306,3,clara_k8,text_pca64_only
3309,6,clara_k8,text_pca64_only
3313,6,clara_k8,text_pca64_only
3319,6,clara_k8,text_pca64_only
3337,1,clara_k8,text_pca64_only
3342,4,clara_k8,text_pca64_only
3357,1,clara_k8,text_pca64_only
3363,6,clara_k8,text_pca64_only
3368,0,clara_k8,text_pca64_only
3377,6,clara_k8,text_pca64_only
3393,2,clara_k8,text_pca64_only
3394,1,clara_k8,text_pca64_only
3395,1,clara_k8,text_pca64_only
3396,1,clara_k8,text_pca64_only
3403,1,clara_k8,text_pca64_only
3416,0,clara_k8,text_pca64_only
3422,1,clara_k8,text_pca64_only
3431,3,clara_k8,text_pca64_only
3434,6,clara_k8,text_pca64_only
3493,0,clara_k8,text_pca64_only
3502,1,clara_k8,text_pca64_only
3521,0,clara_k8,text_pca64_only
3537,0,clara_k8,text_pca64_only
3570,0,clara_k8,text_pca64_only
3580,1,clara_k8,text_pca64_only
3586,1,clara_k8,text_pca64_only
3593,1,clara_k8,text_pca64_only
3607,1,clara_k8,text_pca64_only
3611,0,clara_k8,text_pca64_only
3614,6,clara_k8,text_pca64_only
3619,1,clara_k8,text_pca64_only
3620,0,clara_k8,text_pca64_only
3627,0,clara_k8,text_pca64_only
3629,0,clara_k8,text_pca64_only
3635,1,clara_k8,text_pca64_only
3638,1,clara_k8,text_pca64_only
3653,0,clara_k8,text_pca64_only
3656,0,clara_k8,text_pca64_only
3660,1,clara_k8,text_pca64_only
3699,6,clara_k8,text_pca64_only
3700,1,clara_k8,text_pca64_only
3707,1,clara_k8,text_pca64_only
3711,6,clara_k8,text_pca64_only
3714,1,clara_k8,text_pca64_only
3716,2,clara_k8,text_pca64_only
3725,1,clara_k8,text_pca64_only
3727,0,clara_k8,text_pca64_only
3733,0,clara_k8,text_pca64_only
3737,0,clara_k8,text_pca64_only
3738,1,clara_k8,text_pca64_only
3761,0,clara_k8,text_pca64_only
3767,2,clara_k8,text_pca64_only
3780,1,clara_k8,text_pca64_only
3785,1,clara_k8,text_pca64_only
3786,1,clara_k8,text_pca64_only
3789,0,clara_k8,text_pca64_only
3791,1,clara_k8,text_pca64_only
3799,0,clara_k8,text_pca64_only
3802,6,clara_k8,text_pca64_only
3803,1,clara_k8,text_pca64_only
3804,1,clara_k8,text_pca64_only
3821,7,clara_k8,text_pca64_only
3833,0,clara_k8,text_pca64_only
3835,0,clara_k8,text_pca64_only
3842,6,clara_k8,text_pca64_only
3848,6,clara_k8,text_pca64_only
3861,1,clara_k8,text_pca64_only
3882,6,clara_k8,text_pca64_only
3891,1,clara_k8,text_pca64_only
3896,0,clara_k8,text_pca64_only
3897,6,clara_k8,text_pca64_only
3904,1,clara_k8,text_pca64_only
3912,2,clara_k8,text_pca64_only
3915,1,clara_k8,text_pca64_only
3929,1,clara_k8,text_pca64_only
3935,0,clara_k8,text_pca64_only
3944,6,clara_k8,text_pca64_only
3946,2,clara_k8,text_pca64_only
3951,0,clara_k8,text_pca64_only
3955,1,clara_k8,text_pca64_only
3999,1,clara_k8,text_pca64_only
4004,0,clara_k8,text_pca64_only
4007,1,clara_k8,text_pca64_only
4009,1,clara_k8,text_pca64_only
4022,1,clara_k8,text_pca64_only
4024,6,clara_k8,text_pca64_only
4050,6,clara_k8,text_pca64_only
4051,0,clara_k8,text_pca64_only
4063,6,clara_k8,text_pca64_only
4072,1,clara_k8,text_pca64_only
4079,1,clara_k8,text_pca64_only
4080,2,clara_k8,text_pca64_only
4081,2,clara_k8,text_pca64_only
4087,2,clara_k8,text_pca64_only
4088,1,clara_k8,text_pca64_only
4097,0,clara_k8,text_pca64_only
4103,1,clara_k8,text_pca64_only
4107,3,clara_k8,text_pca64_only
4116,6,clara_k8,text_pca64_only
4118,6,clara_k8,text_pca64_only
4124,2,clara_k8,text_pca64_only
4128,6,clara_k8,text_pca64_only
4145,0,clara_k8,text_pca64_only
4148,3,clara_k8,text_pca64_only
4151,6,clara_k8,text_pca64_only
4154,6,clara_k8,text_pca64_only
4155,1,clara_k8,text_pca64_only
4162,2,clara_k8,text_pca64_only
4175,0,clara_k8,text_pca64_only
4184,0,clara_k8,text_pca64_only
4185,3,clara_k8,text_pca64_only
4189,0,clara_k8,text_pca64_only
4193,2,clara_k8,text_pca64_only
4195,4,clara_k8,text_pca64_only
4196,2,clara_k8,text_pca64_only
4199,4,clara_k8,text_pca64_only
4221,6,clara_k8,text_pca64_only
4228,0,clara_k8,text_pca64_only
4230,6,clara_k8,text_pca64_only
4232,2,clara_k8,text_pca64_only
4243,1,clara_k8,text_pca64_only
4244,2,clara_k8,text_pca64_only
4246,2,clara_k8,text_pca64_only
4249,0,clara_k8,text_pca64_only
4253,6,clara_k8,text_pca64_only
4256,6,clara_k8,text_pca64_only
4272,6,clara_k8,text_pca64_only
4276,1,clara_k8,text_pca64_only
4280,1,clara_k8,text_pca64_only
4282,6,clara_k8,text_pca64_only
4285,1,clara_k8,text_pca64_only
4287,1,clara_k8,text_pca64_only
4293,6,clara_k8,text_pca64_only
4296,6,clara_k8,text_pca64_only
4328,0,clara_k8,text_pca64_only
4337,0,clara_k8,text_pca64_only
4343,6,clara_k8,text_pca64_only
4361,0,clara_k8,text_pca64_only
4363,0,clara_k8,text_pca64_only
4367,3,clara_k8,text_pca64_only
4382,3,clara_k8,text_pca64_only
4385,0,clara_k8,text_pca64_only
4387,0,clara_k8,text_pca64_only
4402,0,clara_k8,text_pca64_only
4413,0,clara_k8,text_pca64_only
4419,0,clara_k8,text_pca64_only
4420,0,clara_k8,text_pca64_only
4421,0,clara_k8,text_pca64_only
4422,0,clara_k8,text_pca64_only
4446,3,clara_k8,text_pca64_only
4449,2,clara_k8,text_pca64_only
4451,1,clara_k8,text_pca64_only
4472,2,clara_k8,text_pca64_only
4492,6,clara_k8,text_pca64_only
4498,3,clara_k8,text_pca64_only
4505,0,clara_k8,text_pca64_only
4506,0,clara_k8,text_pca64_only
4508,0,clara_k8,text_pca64_only
4510,3,clara_k8,text_pca64_only
4513,3,clara_k8,text_pca64_only
4519,3,clara_k8,text_pca64_only
4543,1,clara_k8,text_pca64_only
4545,2,clara_k8,text_pca64_only
4549,2,clara_k8,text_pca64_only
4559,1,clara_k8,text_pca64_only
4562,3,clara_k8,text_pca64_only
4568,3,clara_k8,text_pca64_only
4578,2,clara_k8,text_pca64_only
4580,0,clara_k8,text_pca64_only
4586,3,clara_k8,text_pca64_only
4593,5,clara_k8,text_pca64_only
4604,2,clara_k8,text_pca64_only
4608,3,clara_k8,text_pca64_only
4613,3,clara_k8,text_pca64_only
4615,1,clara_k8,text_pca64_only
4618,2,clara_k8,text_pca64_only
4624,1,clara_k8,text_pca64_only
4634,2,clara_k8,text_pca64_only
4635,3,clara_k8,text_pca64_only
4639,5,clara_k8,text_pca64_only
4643,6,clara_k8,text_pca64_only
4645,3,clara_k8,text_pca64_only
4653,6,clara_k8,text_pca64_only
4654,0,clara_k8,text_pca64_only
4656,1,clara_k8,text_pca64_only
4657,1,clara_k8,text_pca64_only
4658,0,clara_k8,text_pca64_only
4660,2,clara_k8,text_pca64_only
4664,2,clara_k8,text_pca64_only
4669,3,clara_k8,text_pca64_only
4670,5,clara_k8,text_pca64_only
4673,6,clara_k8,text_pca64_only
4684,2,clara_k8,text_pca64_only
4688,3,clara_k8,text_pca64_only
4699,3,clara_k8,text_pca64_only
4704,1,clara_k8,text_pca64_only
4724,3,clara_k8,text_pca64_only
4727,0,clara_k8,text_pca64_only
4731,5,clara_k8,text_pca64_only
4735,3,clara_k8,text_pca64_only
4745,2,clara_k8,text_pca64_only
4779,3,clara_k8,text_pca64_only
4788,6,clara_k8,text_pca64_only
4790,2,clara_k8,text_pca64_only
4811,1,clara_k8,text_pca64_only
4812,2,clara_k8,text_pca64_only
4815,0,clara_k8,text_pca64_only
4831,6,clara_k8,text_pca64_only
4859,0,clara_k8,text_pca64_only
4863,6,clara_k8,text_pca64_only
4878,0,clara_k8,text_pca64_only
4881,6,clara_k8,text_pca64_only
4891,1,clara_k8,text_pca64_only
4900,6,clara_k8,text_pca64_only
4906,1,clara_k8,text_pca64_only
4911,3,clara_k8,text_pca64_only
4916,0,clara_k8,text_pca64_only
4931,3,clara_k8,text_pca64_only
4939,1,clara_k8,text_pca64_only
4940,0,clara_k8,text_pca64_only
4941,1,clara_k8,text_pca64_only
4975,6,clara_k8,text_pca64_only
