feature_space,algorithm,k,fit_n_rows,eval_n_rows,coverage_pct,n_clusters,silhouette_cosine,silhouette_euclidean,dbi,calinski_harabasz,inertia,negative_silhouette_pct,silhouette_p10,silhouette_p25,silhouette_median,silhouette_p75,silhouette_p90,largest_cluster_pct,top3_cluster_pct,top5_cluster_pct,min_cluster_size,median_cluster_size,max_cluster_size,normalized_entropy,gini,n_clusters_lt_100,n_clusters_lt_500,low_interpretability_clusters,publisher_warning_count,stock_warning_count,notes,base_score,silhouette_cosine_score,dbi_score,negative_silhouette_pct_score,normalized_entropy_score,largest_cluster_pct_score,n_clusters_lt_500_score,publisher_warning_count_score,stock_warning_count_score,mean_ARI,mean_NMI,mean_ARI_score,mean_NMI_score,final_score
text_pca256_lexical_w010,MiniBatchKMeans,40,100000,10000,100.0,40,0.0256889257580041,-0.1093559563159942,5.175015325059176,20.07205864594449,23904812.0,70.49,-0.0794218264520168,-0.0547284474596381,-0.0292160175740718,0.0151573854964226,0.2094737365841866,10.474,29.074,42.76,1,1366.5,10474,0.8445752350595831,0.5786855000000002,2,12,0,27,1,,0.4569212166322977,0.40741277962780276,0.17880936911346898,0.32321001288422607,0.6085517506110887,0.6817036495163781,0.6842105263157895,0.5897435897435898,0.8888888888888888,,,,,0.4569212166322977
text_pca256_only,MiniBatchKMeans,64,100000,10000,100.0,64,0.0234559383243322,-0.1020518019795417,4.417451393632011,16.87543287341927,23309648.0,68.01,-0.094553080946207,-0.0635601729154586,-0.0315381661057472,0.0210937899537384,0.1941579997539521,9.518,21.885,31.886,1,566.5,9518,0.8497840828908372,0.5991028125,3,30,0,42,3,,0.4496576408667264,0.3892139672582409,0.49087824992412005,0.36885698509110976,0.6229908995783235,0.7205559619604974,0.21052631578947367,0.20512820512820512,0.6666666666666666,,,,,0.4496576408667264
text_pca256_lexical_w003,MiniBatchKMeans,40,100000,10000,100.0,40,0.0203581657260656,-0.115798071026802,4.937387930965753,19.74051674725749,23913258.0,74.16,-0.0795683033764362,-0.0558753442019224,-0.0311572272330522,0.0018076599808409,0.1487070888280869,12.026,29.105,45.113,1,634.5,12026,0.8119908887407251,0.6247555,3,16,0,26,1,,0.4283451487584237,0.3639671694351469,0.27669696889001116,0.25565985643291,0.5182265490041364,0.6186296025359669,0.5789473684210527,0.6153846153846154,0.8888888888888888,,,,,0.4283451487584237
text_pca256_only,MiniBatchKMeans,40,100000,10000,100.0,40,0.0186337381601333,-0.1130226925015449,4.908354105932178,19.419275030404265,23976928.0,70.38,-0.0866989612579345,-0.059903129003942,-0.034778332337737,0.0174860707484185,0.1692422911524772,16.341,46.136,59.283,1,845.0,16341,0.7698663317326783,0.6716000000000002,3,14,0,29,1,,0.4055214014034832,0.3499131119675251,0.28865708592833283,0.3252346769740475,0.40145547533821113,0.4432658701129805,0.631578947368421,0.5384615384615384,0.8888888888888888,,,,,0.4055214014034832
text_pca256_lexical_w005,MiniBatchKMeans,64,100000,10000,100.0,63,0.0153916599228978,-0.1033492907881736,4.161521216811662,15.897690422514216,23506970.0,76.01,-0.1103566862642765,-0.0783846005797386,-0.0497566349804401,-0.0048097496619448,0.2382297858595848,12.501,28.778,42.512,1,361.0,12501,0.7845691130389724,0.6937898412698413,8,36,2,47,5,,0.3653968884090765,0.32349022546257666,0.5963054495738398,0.2216086876495489,0.44221221394755234,0.5993253677964724,0.05263157894736842,0.07692307692307693,0.4444444444444444,,,,,0.3653968884090765
text_pca256_lexical_w005,MiniBatchKMeans,40,100000,10000,100.0,40,-0.0010767222847789,-0.1159632802009582,5.139660202075486,18.531296455604124,24067064.0,73.78,-0.0913847215473651,-0.0610251883044838,-0.0335001666098833,0.0035703940084204,0.1062877900898458,9.585,27.07,42.679,1,1257.0,9585,0.8238233832306743,0.6072785,5,16,0,26,4,,0.36460676710976125,0.1892731701812097,0.19337346489830615,0.2626541505613841,0.5510267297982886,0.717833048849874,0.5789473684210527,0.6153846153846154,0.5555555555555556,,,,,0.36460676710976125
text_pca256_only,MiniBatchKMeans,32,100000,10000,100.0,32,0.0059894067235291,-0.1176116243004798,5.262469144066465,19.008044141059163,24250056.0,79.25999999999999,-0.0827765613794326,-0.0574393654242157,-0.0347543582320213,-0.0082985069602727,0.1369090989232064,16.191,46.547,63.352,85,760.0,16191,0.7664670087238904,0.66511875,1,12,1,22,0,,0.3461201872300973,0.2468620101640013,0.14278387438220916,0.16178906681391508,0.3920324065710401,0.44936194424124204,0.6842105263157895,0.717948717948718,1.0,,,,,0.3461201872300973
text_pca256_lexical_w005,MiniBatchKMeans,32,100000,10000,100.0,32,0.0059435083530843,-0.1176011934876442,5.265153212882236,19.00404447788487,24252042.0,79.14,-0.0827221445739269,-0.0575565323233604,-0.034758323803544,-0.0082219559699296,0.1364698559045795,16.364,46.564,63.353,85,759.5,16364,0.7664082610828031,0.6652475,1,12,1,22,0,,0.3455403849234661,0.24648793916870687,0.14167820617836724,0.16399779127553832,0.3918695555973482,0.44233113874664715,0.6842105263157895,0.717948717948718,1.0,,,,,0.3455403849234661
text_pca256_lexical_w010,MiniBatchKMeans,32,100000,10000,100.0,32,-0.0044014770537614,-0.1202193349599838,5.300209689803478,18.876200031112987,24344960.0,80.63,-0.1048229999840259,-0.072179414331913,-0.0443335492163896,-0.0144619129132479,0.0827766947448254,21.039,46.592,64.02799999999999,2,944.5,21039,0.7486848439880968,0.6880481249999999,6,10,0,23,2,,0.2871997027656955,0.16217647124635629,0.12723713386204585,0.1365727958770477,0.3427394853919206,0.2523368284158335,0.7368421052631579,0.6923076923076923,0.7777777777777778,,,,,0.2871997027656955
text_pca256_lexical_w010,MiniBatchKMeans,64,100000,10000,100.0,64,-0.0169865656644105,-0.1115089207887649,3.8632358633213024,15.049656298930804,23629286.0,80.39,-0.1440085068345069,-0.1022100150585174,-0.069178394973278,-0.024996590334922,0.1517581060528755,16.052,38.424,51.732,1,340.5,16052,0.7357587186802214,0.7468521875,17,38,2,50,9,,0.2452493464128124,0.059608197540089856,0.719180328596371,0.14099024480029443,0.30690771319660554,0.4550109729334309,0.0,0.0,0.0,,,,,0.2452493464128124
text_pca256_lexical_w003,MiniBatchKMeans,32,100000,10000,100.0,32,-0.0243004690855741,-0.1308450698852539,4.907111762546931,18.04648159779767,24507994.0,88.05,-0.1199624344706535,-0.0818690154701471,-0.0539949610829353,-0.0312072071246802,0.0334090720862151,27.248,60.459,82.726,1,448.5,27248,0.6250433586609506,0.793110625,11,17,0,25,5,,0.1525002361984703,0.0,0.2891688535742477,0.0,0.0,0.0,0.5526315789473685,0.6410256410256411,0.4444444444444444,,,,,0.1525002361984703
