x,y
-11.388985,4.8691144
7.929462,-3.6334095
16.394535,-6.4850616
19.6155,4.0691495
-16.88372,-1.0136507
-12.117939,-0.3597563
14.939646,-0.39985642
13.589283,-4.720027
4.3117766,21.645803
2.8003438,-10.088207
-3.8864417,-8.918113
-8.3832445,2.6161778
20.503952,-3.3860846
-3.4135554,2.8407607
-7.7265534,0.043089185
9.118574,-6.4825983
8.493369,-6.9186864
5.574596,-10.444325
-5.6351333,10.285695
-5.8642297,-20.779257
-17.360271,2.0275826
12.974755,14.827838
12.981801,0.6662182
-3.1939387,13.375309
3.213484,0.98390424
1.8736649,14.963835
-0.5658773,16.884266
-4.227527,13.794797
-4.656188,-0.13504083
-15.885427,2.4423125
15.793021,-5.470678
11.854081,0.46718386
3.4664934,-13.489782
-5.169379,-8.10339
-2.6343443,8.03828
-5.217109,-3.6185615
1.5400515,8.124185
-2.4808404,7.130202
6.7443886,-3.0073786
9.538085,-2.6568303
14.0314455,-3.3118794
2.060601,-2.2764711
-5.767609,-12.206088
3.3803377,15.283323
-5.1793094,-19.109158
-3.3089669,6.3916435
7.0699773,-10.228339
8.6760025,0.053822715
-17.441843,2.980827
7.3297615,-5.5479813
-7.913188,-11.438809
5.149227,10.681643
-5.9217954,3.6393147
-13.026467,0.99626875
-4.4581447,2.4836433
-4.3566365,-15.451773
-6.164052,-17.392359
2.6188414,-4.0642343
-10.512873,6.9334254
-2.0161474,-13.603514
27.693321,-2.4913926
-2.9459207,7.172982
21.074976,-0.7956153
13.252625,-1.0747216
-5.184555,-5.1076393
-3.470094,12.442057
-10.141753,7.084233
-3.8261793,9.33424
4.8165197,-6.4375076
-1.8308251,19.08986
2.1953213,10.690485
-3.814074,6.4980764
8.006991,-5.943452
-1.788135,-8.864404
5.320789,10.5482855
3.8743067,-6.221029
3.2364204,-8.828499
7.241746,-14.909175
4.3081317,7.161306
9.990589,10.397003
-5.795378,6.9624147
13.407608,-7.980909
19.03499,2.7519407
-2.4359553,-15.805866
0.64129025,-14.478786
-10.981308,2.6270428
1.6708624,13.152782
-2.7241104,12.553878
-4.6149054,-7.5003567
8.839252,-8.163291
-11.231863,5.390175
2.9144292,-17.627705
2.8947723,18.976969
-14.307963,7.0029655
-13.237948,4.364612
12.621176,-7.40317
4.150279,11.809871
-4.368606,6.683532
20.93996,11.400832
-7.129512,3.3954008
1.3680621,9.951316
-6.955112,4.480054
-0.4371783,-11.976716
-6.7545657,-5.363403
6.762828,-6.752734
6.1022243,-7.145518
3.6975007,7.3272943
-7.3973846,8.187863
-2.0098317,7.717108
-6.8680463,8.069362
4.5984316,-7.5033007
-15.784149,2.2534304
6.96127,-2.09396
10.862747,-5.13766
3.5898209,-8.6900425
-5.2800426,4.5295706
-9.388854,-2.197501
-12.819055,0.63990617
-28.1647,-3.4990342
-3.9832664,13.309724
2.7101543,-6.3833365
-1.4761741,7.5546093
12.673186,4.9334464
-11.6161785,-16.055784
6.785103,-6.140435
-1.7628156,-15.447607
1.3158503,12.205517
-9.434752,8.807017
-16.508135,5.645617
-3.3405013,-12.856708
-0.14052543,-5.167233
-11.609638,0.72193265
-9.079855,8.194898
3.3278434,-6.0578938
8.453041,12.55056
-7.3441234,-13.982924
-3.308802,10.711173
-0.4909509,-1.6038724
13.489827,-6.603804
-1.8560344,-9.504472
-0.76764506,6.330457
-15.575892,4.8196945
19.803604,-1.5500551
-7.123816,-0.34745234
-0.06341235,0.5794227
-9.357705,0.6792808
7.0465684,-5.8639007
11.45318,-11.136221
13.341794,-2.6181
-7.8426886,10.390372
9.0950985,16.406017
5.686861,-3.4574847
-7.154924,2.6443431
8.749297,-5.8241644
5.269554,-15.828613
12.832226,-0.4704043
-7.8468323,0.12584269
-14.442933,9.393393
1.7950525,-14.302154
19.976213,-0.27712336
-1.0084707,4.549844
7.749246,-7.8050904
-2.9823215,11.579439
-1.5451708,12.825596
-9.257824,9.276408
1.2044225,-8.934551
3.8717196,0.3140893
16.822426,-2.8954256
-6.640727,2.5292146
12.99204,-9.4762535
0.76999503,8.030808
-26.348343,-1.5256349
4.511924,16.289833
-3.2135556,14.185144
-20.866074,0.01468562
-20.198158,-22.457943
-10.506686,1.1877857
1.7220916,-9.809042
-10.69163,3.6568186
2.9687245,-0.9542386
3.2916715,-14.700156
-4.136859,-12.85142
4.368266,-5.5300756
-10.173093,2.7506459
8.342592,-0.012183964
-8.838585,6.335674
8.41241,-7.463291
6.3818345,-5.451911
4.447892,12.01839
7.477793,-10.9216
10.273263,-9.893373
14.181336,-8.562346
-7.12862,9.302871
23.384892,-3.8899326
-0.81164926,-9.132595
-17.978525,5.2625484
-4.659919,-17.837753
-6.279891,2.66889
-5.4433646,15.103188
0.15482773,-7.8740416
-8.808713,8.476825
5.3699737,8.898812
-9.44571,-14.689399
-7.8492017,11.154326
-3.6691968,-7.128421
6.564522,-10.112578
9.323474,-6.8304553
-9.7750025,7.1926017
-0.84775984,-14.186448
6.455527,-2.6004899
0.25189224,-14.571714
-19.311436,0.28905675
3.360152,-12.652965
-6.264285,-12.122752
-8.482913,3.554164
-4.420699,13.303717
-5.7064133,-7.9477983
12.864263,20.802044
-0.95879567,4.474232
-17.003918,3.5843213
-2.2949533,-7.9664893
-3.0558789,-7.431428
19.095453,1.878697
-1.7598804,2.1442468
3.7305803,-10.341177
5.804795,17.632318
-3.9536612,3.1327796
-7.300771,6.6538506
-15.977195,3.9860694
5.275944,-14.422377
-0.5619848,11.876308
-2.5595138,0.58589274
-7.0315146,-7.85238
-10.049501,9.082822
-9.671909,12.157137
-2.431474,7.815289
-12.153124,-4.070841
-4.145624,-12.046426
-0.5525188,-1.3635935
-8.003278,-4.757869
3.0872505,-3.9616873
16.361801,-2.0990252
-0.5987044,-13.881703
5.495806,-0.9617071
8.623685,9.269991
-8.122916,-15.567797
-19.072268,-8.988273
-4.104023,12.124484
11.924962,-5.4552794
-4.5091596,9.862182
30.51744,-2.2765357
5.9248433,-12.605449
-1.6488346,-6.9131894
-20.163244,3.9475164
-15.784715,-9.544274
-2.0656052,12.92561
11.006067,-6.0350423
1.166216,-11.044393
7.037974,3.0556006
-6.6638103,-17.967627
6.732181,6.406907
11.257284,-7.2108283
-16.597832,3.6304607
10.957263,-7.4788423
0.34599394,20.44546
11.880563,-7.5314837
-7.0210295,7.5546026
8.041519,-13.324596
1.6562881,7.289179
-5.532973,9.465059
-10.319306,12.505939
-4.2908425,-4.499792
9.0791445,5.2742815
10.719396,-5.536652
2.7036011,12.73834
-2.310586,3.0873036
5.6510906,14.325118
-3.900985,5.100563
-9.659789,-4.7969584
3.5301452,-9.353198
-2.1823575,-5.976579
-19.643864,-2.1092086
-3.6880977,-12.068639
-6.7293224,11.42481
12.248603,-12.559147
-8.051897,-3.8881311
-26.373314,-1.4664317
-11.101044,-2.3319676
